id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
2021-04-08-9,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,65185,52.394366197183096,,,,300
2021-04-09-10,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,65100,35.1,,,,300
2021-04-09-11,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,32505,34.13793103448276,,,,300
2021-04-09-6,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,32565,0,,,,300
2021-04-09-7,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,53805,21.11111111111111,,,,300
2021-04-09-8,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,72045,48.81818181818182,,,,300
2021-04-09-9,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,empty,1,42630,20.48076923076923,42780,20.48076923076923,0,96.6390438079834
2021-04-09-9,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,42630,20.48076923076923,,,,300
2021-04-05-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,64200,32.1,64200,32.1,0,0.00899958610534668
2021-04-05-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,64200,32.1,,,,300
2021-04-05-11,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,14700,1.7647058823529411,,,,300
2021-04-05-6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,43380,21.666666666666668,,,,300
2021-04-05-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,52335,29.25,52800,29.25,0,223.6904559135437
2021-04-05-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,52335,29.25,,,,300
2021-04-05-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,53725,55.3,,,,300
2021-04-05-9,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,48075,25.363636363636363,,,,300
2021-04-06-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,58560,39.183673469387756,58560,39.183673469387756,0,0.020998001098632812
2021-04-06-10,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,58560,39.183673469387756,,,,300
2021-04-06-11,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,30630,45.51724137931034,,,,300
2021-04-06-6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,54690,12.5,,,,300
2021-04-06-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,74205,47.785714285714285,75105,47.785714285714285,0,227.3133635520935
2021-04-06-7,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,74205,47.785714285714285,,,,300
2021-04-06-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,83100,58.43283582089552,83100,58.43283582089552,0,0.022999048233032227
2021-04-06-8,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,83100,58.43283582089552,,,,300
2021-04-06-9,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,41820,21.6,42030,21.6,0,235.70349264144897
2021-04-06-9,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,41820,21.6,,,,300
