id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
11,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3662,71.84210526315789,3678,71.84210526315789,0,0.6565430164337158
237,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1386,33.0,,,,300
698,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2756,65.46666666666667,,,,300
505,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1367,24.0,,,,300
979,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2278,35.7,2282,35.7,0,0.3935840129852295
718,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3669,60.285714285714285,3706,60.285714285714285,0,0.9540801048278809
322,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1273,27.46153846153846,1288,27.46153846153846,0,0.23168587684631348
668,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,8412,205.25,,,,300
422,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2138,14.714285714285714,,,,300
415,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2320,38.642857142857146,2332,38.642857142857146,0,50.217057943344116
972,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,874,12.333333333333334,,,,187.8895924091339
426,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,11625,244.26666666666668,,,,300
28,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1209,26.2,,,,300
529,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3481,47.666666666666664,3501,47.72222222222222,0,43.903950691223145
712,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,570,8.833333333333334,,,,4.959738492965698
233,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,7055,133.0,,,,300
808,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2286,34.92307692307692,,,,300
187,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,739,5.8,,,,14.609277248382568
501,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,6298,66.625,,,,300
990,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1893,24.142857142857142,1895,24.142857142857142,0,5.0586631298065186
211,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2012,34.30769230769231,2140,34.30769230769231,0,0.9529469013214111
927,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2797,53.55555555555556,,,,300
249,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2272,48.92857142857143,2296,49.142857142857146,0,50.91266918182373
673,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3815,79.70588235294117,3815,79.52941176470588,0,0.3876063823699951
144,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,6466,160.72727272727272,7064,160.0,0,10.628068208694458
664,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2864,76.0,,,,300
812,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,5706,124.52631578947368,5741,124.89473684210526,0,0.12330150604248047
743,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1690,20.142857142857142,,,,300
393,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,4535,170.44444444444446,4537,170.5,0,0.11034250259399414
509,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2539,40.46666666666667,,,,300
246,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3077,42.63157894736842,3087,42.421052631578945,0,8.26457929611206
227,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,453,6.0,,,,0.9196140766143799
747,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5821,179.66666666666666,,,,300
695,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,16777,205.47058823529412,17177,205.1764705882353,0,232.29231190681458
690,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3518,58.10526315789474,,,,300
804,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2131,25.3,,,,300
134,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,503,24.0,,,,0.4221231937408447
152,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3155,49.84615384615385,,,,300
923,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2987,108.6923076923077,,,,300
49,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1851,77.4,1854,77.46666666666667,0,0.06261754035949707
921,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,817,32.0,819,32.0,0,0.04593324661254883
24,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2347,82.18181818181819,,,,300
597,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,8835,324.5,8835,324.5,0,0.11100888252258301
429,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,137,9.8,,,,0.34508323669433594
330,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,610,10.857142857142858,,,,33.51314449310303
210,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,449,19.75,,,,300
966,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1720,106.0,1888,106.14285714285714,0,2.167475461959839
708,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,441,15.88888888888889,441,15.88888888888889,0,0.04975605010986328
768,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3963,78.66666666666667,,,,300
522,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3535,64.5,,,,300
405,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3509,32.75,,,,300
969,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2561,108.8,2567,109.0,0,0.03527998924255371
707,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,5216,58.05882352941177,5363,58.05882352941177,0,41.21293568611145
337,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,6343,71.44444444444444,,,,300
888,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,395,28.0,,,,26.250319957733154
401,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1292,31.0,,,,300
536,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2910,37.10526315789474,2954,37.26315789473684,0,11.604421377182007
980,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3390,57.75,3395,57.75,0,0.35089707374572754
333,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,4027,123.21428571428571,,,,300
855,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3106,38.214285714285715,3134,38.214285714285715,0,139.64605903625488
179,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2232,12.833333333333334,,,,300
908,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2686,96.53846153846153,,,,300
539,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2559,42.92307692307692,2591,43.07692307692308,0,2.321704387664795
103,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,319,8.833333333333334,320,8.833333333333334,0,0.02044391632080078
6,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,986,4.888888888888889,,,,300
214,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,3070,46.35294117647059,,,,300
